ANO_ENCUESTA,AGLOMERADO,CH04,NIVEL_ED,P21_IMPUTADO_REAL,P21_IMPUTADO_NOMINAL
2016,13,2,5,381346.5134358622,3783.4134810784158
2016,13,1,2,463204.1417162353,4595.539050484355
2016,13,2,6,1005461.3856813764,9975.379418095828
2016,13,1,5,771960.8701019905,7658.775050791468
2016,13,2,6,897848.8111187343,8907.733980182751
2016,13,1,4,733969.3434049966,7281.853670346403
2016,13,2,4,417422.55682040023,4141.330976259573
2016,13,1,6,1031298.8704576736,10231.718167174866
2016,13,1,1,556501.569016612,5521.161107489332
2016,13,1,3,191222.52491073278,1897.1561379039565
2016,13,2,5,422291.26903730497,4189.634424142088
2016,13,2,6,720279.1906204598,7146.030982113669
2016,13,1,6,2741667.5846168795,27200.62131109477
2016,13,1,6,1162436.8203229422,11532.763463042475
2016,13,2,6,1227467.977345485,12177.950314109874
2016,13,2,4,211887.51789533452,2102.177582416213
2016,13,2,3,39695.07210169462,393.82258819888244
2016,13,1,6,1340057.7116536915,13294.975129086579
2016,13,2,6,847520.5253394616,8408.417195609887
2016,13,1,5,878249.6682460094,8713.287043473782
2016,13,2,4,555357.8177557611,5509.813727123072
2016,13,1,3,49311.37049401763,489.2277687728138
2016,13,1,5,832179.2703545358,8256.213598929064
2016,13,1,1,475125.1476154766,4713.809685820295
2016,13,2,2,77444.87107158903,768.3457404991059
2016,13,1,4,799714.216942776,7934.121442807539
2016,13,2,2,131553.3753066505,1305.1668130702876
2016,13,2,5,528306.1341116069,5241.428673165118
2016,13,1,4,462115.879849626,4584.742191270994
2016,13,2,6,986215.8330492472,9784.440519446507
2016,13,1,4,644046.0790833994,6389.707345389565
2016,13,2,4,493971.58037621155,4900.788838021709
2016,13,1,6,1060572.2276775357,10522.144879993568
2016,13,1,6,1506121.6978734604,14942.528475057223
2016,13,1,4,592474.2424849203,5878.053049477206
2016,13,2,6,847587.7927032836,8409.084568306775
2016,13,1,6,1260747.6419956929,12508.124387943493
2016,13,2,6,824692.7006121376,8181.937873591438
2016,13,2,3,552948.9074634449,5485.91445610957
2016,13,1,6,1158196.6253663679,11490.695658051773
2016,13,1,5,955170.207125115,9476.430781553272
2016,13,1,5,1066591.3169448934,10581.861443999247
2016,13,1,4,275336.94090083864,2731.671740374591
2016,13,2,4,512495.82947974605,5084.571543031164
2016,13,1,2,632979.1114108433,6279.909790641368
2016,13,2,2,150328.26031677658,1491.4361260187984
2016,13,2,6,1013611.8109021595,10056.24138371078
2016,13,1,5,999398.3951082629,9915.227300633695
2016,13,2,6,725135.0773530775,7194.20718585354
2016,13,1,1,281510.2809233936,2792.918656346575
